case,activity,timestamp,completeTime,first,second,country
119,M,2019/01/12 03:34:27.388,2019/01/12 03:34:27.388,122,136,Peru
129,D,2019/01/12 03:36:30.219,2019/01/12 03:36:30.219,123,244,Ceuta & Melilla
108,E,2019/01/12 03:38:16.787,2019/01/12 03:38:16.787,131,143,Jordan
131,A,2019/01/12 03:40:00.000,2019/01/12 03:40:00.000,227,133,Cambodia
128,F,2019/01/12 03:40:15.445,2019/01/12 03:40:15.445,73,63,Yemen
105,C,2019/01/12 03:42:11.006,2019/01/12 03:42:11.006,35,47,Mozambique
121,G,2019/01/12 03:44:09.218,2019/01/12 03:44:09.218,45,76,Armenia
127,E,2019/01/12 03:47:02.175,2019/01/12 03:47:02.175,157,106,Thailand
130,D,2019/01/12 03:51:08.925,2019/01/12 03:51:08.925,190,209,Guatemala
123,A,2019/01/12 03:53:26.334,2019/01/12 03:53:26.334,66,6,Micronesia
116,M,2019/01/12 03:55:27.715,2019/01/12 03:55:27.715,241,253,Japan
124,F,2019/01/12 03:55:42.590,2019/01/12 03:55:42.590,130,0,Bahamas
118,A,2019/01/12 03:58:08.111,2019/01/12 03:58:08.111,250,69,Martinique
109,J,2019/01/12 03:59:05.663,2019/01/12 03:59:05.663,138,164,Ceuta & Melilla
132,A,2019/01/12 04:00:00.000,2019/01/12 04:00:00.000,26,121,Guinea
126,D,2019/01/12 04:03:32.214,2019/01/12 04:03:32.214,240,70,South Korea
119,N,2019/01/12 04:03:46.268,2019/01/12 04:03:46.268,83,155,Burkina Faso
120,M,2019/01/12 04:05:02.805,2019/01/12 04:05:02.805,134,36,Seychelles
129,F,2019/01/12 04:06:43.823,2019/01/12 04:06:43.823,119,166,Ghana
128,E,2019/01/12 04:07:08.003,2019/01/12 04:07:08.003,228,93,Kenya
108,G,2019/01/12 04:08:05.409,2019/01/12 04:08:05.409,179,144,Mauritania
121,I,2019/01/12 04:10:00.945,2019/01/12 04:10:00.945,183,102,Zambia
105,A,2019/01/12 04:13:35.005,2019/01/12 04:13:35.005,245,165,Venezuela
131,D,2019/01/12 04:14:10.793,2019/01/12 04:14:10.793,20,104,Marshall Islands
133,A,2019/01/12 04:20:00.000,2019/01/12 04:20:00.000,84,2,Libya
130,F,2019/01/12 04:20:06.513,2019/01/12 04:20:06.513,181,172,Oman
127,G,2019/01/12 04:20:16.427,2019/01/12 04:20:16.427,46,158,Mexico
123,B,2019/01/12 04:24:22.318,2019/01/12 04:24:22.318,154,151,Sweden
132,D,2019/01/12 04:26:14.089,2019/01/12 04:26:14.089,157,78,Bhutan
116,N,2019/01/12 04:26:48.709,2019/01/12 04:26:48.709,243,131,Indonesia
124,E,2019/01/12 04:27:13.113,2019/01/12 04:27:13.113,62,165,Guam
126,F,2019/01/12 04:29:28.505,2019/01/12 04:29:28.505,16,126,Canada
118,D,2019/01/12 04:29:45.596,2019/01/12 04:29:45.596,124,87,Grenada
109,K,2019/01/12 04:29:46.038,2019/01/12 04:29:46.038,164,85,Grenada
120,N,2019/01/12 04:35:20.453,2019/01/12 04:35:20.453,70,242,Ghana
128,G,2019/01/12 04:36:12.259,2019/01/12 04:36:12.259,76,152,Slovenia
108,H,2019/01/12 04:39:45.563,2019/01/12 04:39:45.563,102,224,Curaçao
105,D,2019/01/12 04:41:04.135,2019/01/12 04:41:04.135,157,120,Syria
131,F,2019/01/12 04:43:44.750,2019/01/12 04:43:44.750,26,19,Zimbabwe
130,E,2019/01/12 04:46:23.876,2019/01/12 04:46:23.876,223,211,Turkey
121,J,2019/01/12 04:47:35.875,2019/01/12 04:47:35.875,61,82,Iran
127,I,2019/01/12 04:49:02.611,2019/01/12 04:49:02.611,166,97,Afghanistan
133,D,2019/01/12 04:49:31.433,2019/01/12 04:49:31.433,179,104,St. Vincent & Grenadines
118,F,2019/01/12 04:51:38.435,2019/01/12 04:51:38.435,176,160,Colombia
124,G,2019/01/12 04:56:45.330,2019/01/12 04:56:45.330,146,75,Jamaica
109,M,2019/01/12 04:56:52.577,2019/01/12 04:56:52.577,205,108,Denmark
132,F,2019/01/12 04:57:25.202,2019/01/12 04:57:25.202,92,169,Zambia
123,C,2019/01/12 04:57:29.967,2019/01/12 04:57:29.967,217,207,Tokelau
126,E,2019/01/12 04:59:09.906,2019/01/12 04:59:09.906,144,205,Ukraine
135,A,2019/01/12 05:00:00.000,2019/01/12 05:00:00.000,172,100,Guam
128,I,2019/01/12 05:07:16.881,2019/01/12 05:07:16.881,195,200,Vatican City
131,E,2019/01/12 05:12:39.810,2019/01/12 05:12:39.810,172,173,Swaziland
121,K,2019/01/12 05:14:10.317,2019/01/12 05:14:10.317,241,72,Curaçao
105,F,2019/01/12 05:14:26.018,2019/01/12 05:14:26.018,75,74,Maldives
130,G,2019/01/12 05:15:21.642,2019/01/12 05:15:21.642,254,214,Slovenia
127,J,2019/01/12 05:16:52.116,2019/01/12 05:16:52.116,238,9,Lithuania
118,E,2019/01/12 05:18:59.356,2019/01/12 05:18:59.356,112,85,Philippines
133,F,2019/01/12 05:19:11.426,2019/01/12 05:19:11.426,35,226,Isle of Man
136,A,2019/01/12 05:20:00.000,2019/01/12 05:20:00.000,179,90,Sudan
109,N,2019/01/12 05:25:01.732,2019/01/12 05:25:01.732,12,79,Antarctica
132,E,2019/01/12 05:25:28.019,2019/01/12 05:25:28.019,178,175,Nauru
124,I,2019/01/12 05:26:40.343,2019/01/12 05:26:40.343,170,68,Mexico
123,A,2019/01/12 05:30:52.151,2019/01/12 05:30:52.151,152,112,Uzbekistan
135,D,2019/01/12 05:33:46.191,2019/01/12 05:33:46.191,187,157,Tuvalu
126,G,2019/01/12 05:34:09.111,2019/01/12 05:34:09.111,19,210,Greece
131,G,2019/01/12 05:40:01.052,2019/01/12 05:40:01.052,211,31,Sint Maarten
128,J,2019/01/12 05:41:25.742,2019/01/12 05:41:25.742,83,116,Afghanistan
105,E,2019/01/12 05:43:12.029,2019/01/12 05:43:12.029,43,46,Malawi
121,M,2019/01/12 05:44:20.800,2019/01/12 05:44:20.800,45,156,Zambia
130,I,2019/01/12 05:45:24.080,2019/01/12 05:45:24.080,150,35,Samoa
127,K,2019/01/12 05:48:50.264,2019/01/12 05:48:50.264,182,57,Austria
136,D,2019/01/12 05:51:56.186,2019/01/12 05:51:56.186,34,77,Guinea
133,E,2019/01/12 05:52:39.583,2019/01/12 05:52:39.583,86,162,Vanuatu
118,G,2019/01/12 05:52:56.500,2019/01/12 05:52:56.500,203,194,St. Martin
132,G,2019/01/12 05:53:30.815,2019/01/12 05:53:30.815,132,251,Russia
124,J,2019/01/12 05:56:10.430,2019/01/12 05:56:10.430,15,194,Belgium
138,A,2019/01/12 06:00:00.000,2019/01/12 06:00:00.000,44,198,Switzerland
135,F,2019/01/12 06:00:05.857,2019/01/12 06:00:05.857,170,91,St. Helena
123,B,2019/01/12 06:00:50.418,2019/01/12 06:00:50.418,175,31,New Caledonia
126,I,2019/01/12 06:05:21.591,2019/01/12 06:05:21.591,208,201,Mali
128,K,2019/01/12 06:10:10.795,2019/01/12 06:10:10.795,197,66,Georgia
131,H,2019/01/12 06:10:38.133,2019/01/12 06:10:38.133,136,172,Bosnia & Herzegovina
105,G,2019/01/12 06:11:45.556,2019/01/12 06:11:45.556,148,141,Peru
121,O,2019/01/12 06:13:20.524,2019/01/12 06:13:20.524,88,173,Serbia
127,M,2019/01/12 06:16:04.279,2019/01/12 06:16:04.279,155,240,Svalbard & Jan Mayen
130,J,2019/01/12 06:19:27.364,2019/01/12 06:19:27.364,246,245,Macedonia
139,A,2019/01/12 06:20:00.000,2019/01/12 06:20:00.000,116,164,Cameroon
133,G,2019/01/12 06:20:48.313,2019/01/12 06:20:48.313,202,67,Taiwan
118,I,2019/01/12 06:23:48.062,2019/01/12 06:23:48.062,169,194,Sint Maarten
132,I,2019/01/12 06:24:53.192,2019/01/12 06:24:53.192,154,59,Congo - Brazzaville
136,F,2019/01/12 06:26:00.518,2019/01/12 06:26:00.518,69,129,Kyrgyzstan
138,B,2019/01/12 06:27:31.852,2019/01/12 06:27:31.852,189,53,Mozambique
124,L,2019/01/12 06:27:40.505,2019/01/12 06:27:40.505,53,125,United States
135,E,2019/01/12 06:28:57.375,2019/01/12 06:28:57.375,129,206,Grenada
123,C,2019/01/12 06:33:20.083,2019/01/12 06:33:20.083,201,202,Seychelles
126,J,2019/01/12 06:33:40.835,2019/01/12 06:33:40.835,54,253,Bahrain
105,H,2019/01/12 06:36:14.114,2019/01/12 06:36:14.114,0,249,Italy
134,D,2019/01/12 06:39:46.088,2019/01/12 06:39:46.088,91,87,United Kingdom
140,A,2019/01/12 06:40:00.000,2019/01/12 06:40:00.000,12,143,Kyrgyzstan
128,M,2019/01/12 06:48:12.244,2019/01/12 06:48:12.244,73,99,Guinea
127,O,2019/01/12 06:49:13.493,2019/01/12 06:49:13.493,89,137,Solomon Islands
118,J,2019/01/12 06:52:19.382,2019/01/12 06:52:19.382,98,146,Vanuatu
139,B,2019/01/12 06:52:29.640,2019/01/12 06:52:29.640,33,27,Malaysia
133,I,2019/01/12 06:53:03.044,2019/01/12 06:53:03.044,203,51,Austria
132,J,2019/01/12 06:54:56.956,2019/01/12 06:54:56.956,60,73,Mauritania
124,M,2019/01/12 06:55:57.823,2019/01/12 06:55:57.823,24,124,Iraq
123,A,2019/01/12 06:56:45.255,2019/01/12 06:56:45.255,16,109,Djibouti
138,C,2019/01/12 06:57:09.823,2019/01/12 06:57:09.823,63,27,Indonesia
136,E,2019/01/12 06:57:53.176,2019/01/12 06:57:53.176,21,43,Northern Mariana Islands
130,K,2019/01/12 06:58:03.542,2019/01/12 06:58:03.542,135,181,Azerbaijan
141,A,2019/01/12 07:00:00.000,2019/01/12 07:00:00.000,221,32,Chad
135,G,2019/01/12 07:00:54.805,2019/01/12 07:00:54.805,51,213,Lebanon
126,L,2019/01/12 07:03:53.467,2019/01/12 07:03:53.467,53,107,Faroe Islands
140,D,2019/01/12 07:08:05.989,2019/01/12 07:08:05.989,3,79,Svalbard & Jan Mayen
134,F,2019/01/12 07:09:24.911,2019/01/12 07:09:24.911,161,139,Mozambique
128,O,2019/01/12 07:11:48.680,2019/01/12 07:11:48.680,129,98,Bahrain
142,A,2019/01/12 07:20:00.000,2019/01/12 07:20:00.000,112,218,Christmas Island
139,C,2019/01/12 07:23:08.579,2019/01/12 07:23:08.579,21,67,Trinidad & Tobago
118,L,2019/01/12 07:23:31.912,2019/01/12 07:23:31.912,172,18,Guadeloupe
124,N,2019/01/12 07:24:42.452,2019/01/12 07:24:42.452,88,59,Turkmenistan
138,A,2019/01/12 07:26:45.095,2019/01/12 07:26:45.095,234,120,Azerbaijan
136,G,2019/01/12 07:27:37.373,2019/01/12 07:27:37.373,66,219,Mongolia
130,M,2019/01/12 07:29:09.690,2019/01/12 07:29:09.690,116,119,Spain
133,J,2019/01/12 07:29:29.778,2019/01/12 07:29:29.778,114,18,Bangladesh
123,B,2019/01/12 07:29:49.602,2019/01/12 07:29:49.602,45,159,Greenland
141,B,2019/01/12 07:30:35.143,2019/01/12 07:30:35.143,185,157,Norway
135,H,2019/01/12 07:30:43.758,2019/01/12 07:30:43.758,76,190,Papua New Guinea
132,K,2019/01/12 07:31:28.019,2019/01/12 07:31:28.019,162,74,Bangladesh
126,M,2019/01/12 07:31:31.533,2019/01/12 07:31:31.533,136,127,Ecuador
140,F,2019/01/12 07:38:52.834,2019/01/12 07:38:52.834,40,155,Montenegro
143,A,2019/01/12 07:40:00.000,2019/01/12 07:40:00.000,9,127,Kyrgyzstan
134,E,2019/01/12 07:40:36.676,2019/01/12 07:40:36.676,62,157,Haiti
136,H,2019/01/12 07:54:02.573,2019/01/12 07:54:02.573,255,211,Benin
139,A,2019/01/12 07:54:09.594,2019/01/12 07:54:09.594,219,57,Papua New Guinea
142,D,2019/01/12 07:56:10.597,2019/01/12 07:56:10.597,249,32,Burundi
133,L,2019/01/12 07:57:33.689,2019/01/12 07:57:33.689,83,137,Cape Verde
138,B,2019/01/12 07:58:26.858,2019/01/12 07:58:26.858,27,228,Ghana
123,C,2019/01/12 07:58:51.940,2019/01/12 07:58:51.940,154,38,Sint Maarten
144,A,2019/01/12 08:00:00.000,2019/01/12 08:00:00.000,71,74,French Guiana
118,M,2019/01/12 08:00:24.389,2019/01/12 08:00:24.389,129,242,Comoros
141,C,2019/01/12 08:01:17.109,2019/01/12 08:01:17.109,245,71,China
130,O,2019/01/12 08:01:24.718,2019/01/12 08:01:24.718,82,202,Hungary
132,M,2019/01/12 08:02:40.920,2019/01/12 08:02:40.920,134,253,Azerbaijan
143,D,2019/01/12 08:05:11.980,2019/01/12 08:05:11.980,236,203,Burkina Faso
126,N,2019/01/12 08:06:36.062,2019/01/12 08:06:36.062,174,21,Vatican City
134,G,2019/01/12 08:08:42.909,2019/01/12 08:08:42.909,121,251,Isle of Man
140,E,2019/01/12 08:10:10.012,2019/01/12 08:10:10.012,80,181,Latvia
137,I,2019/01/12 08:12:31.860,2019/01/12 08:12:31.860,234,105,Western Sahara
145,A,2019/01/12 08:20:00.000,2019/01/12 08:20:00.000,101,97,El Salvador
139,B,2019/01/12 08:22:05.228,2019/01/12 08:22:05.228,149,3,Cyprus
133,M,2019/01/12 08:24:18.225,2019/01/12 08:24:18.225,222,197,Wallis & Futuna
123,A,2019/01/12 08:26:42.066,2019/01/12 08:26:42.066,123,200,Solomon Islands
142,F,2019/01/12 08:30:07.657,2019/01/12 08:30:07.657,113,135,Tanzania
138,C,2019/01/12 08:30:18.982,2019/01/12 08:30:18.982,160,55,South Georgia & South Sandwich Islands
143,F,2019/01/12 08:33:28.733,2019/01/12 08:33:28.733,214,212,Chad
144,B,2019/01/12 08:33:31.550,2019/01/12 08:33:31.550,101,163,Brunei
141,A,2019/01/12 08:34:17.532,2019/01/12 08:34:17.532,124,231,Gibraltar
118,N,2019/01/12 08:34:46.236,2019/01/12 08:34:46.236,2,190,Réunion
134,H,2019/01/12 08:35:45.080,2019/01/12 08:35:45.080,69,41,St. Barthélemy
132,O,2019/01/12 08:37:18.704,2019/01/12 08:37:18.704,164,249,India
146,A,2019/01/12 08:40:00.000,2019/01/12 08:40:00.000,226,94,Congo - Kinshasa
140,G,2019/01/12 08:42:36.055,2019/01/12 08:42:36.055,143,98,Cuba
137,J,2019/01/12 08:45:13.290,2019/01/12 08:45:13.290,124,182,Lesotho
145,D,2019/01/12 08:51:34.349,2019/01/12 08:51:34.349,29,194,Falkland Islands
139,C,2019/01/12 08:52:11.922,2019/01/12 08:52:11.922,68,226,Paraguay
133,O,2019/01/12 08:53:23.395,2019/01/12 08:53:23.395,181,93,U.S. Outlying Islands
123,D,2019/01/12 08:55:54.105,2019/01/12 08:55:54.105,198,91,Japan
138,A,2019/01/12 08:59:05.708,2019/01/12 08:59:05.708,243,248,Uzbekistan
147,A,2019/01/12 09:00:00.000,2019/01/12 09:00:00.000,4,13,Libya
143,E,2019/01/12 09:00:48.383,2019/01/12 09:00:48.383,53,32,Bosnia & Herzegovina
142,E,2019/01/12 09:01:33.154,2019/01/12 09:01:33.154,170,33,Kosovo
141,B,2019/01/12 09:03:34.774,2019/01/12 09:03:34.774,165,80,Canary Islands
144,C,2019/01/12 09:05:26.715,2019/01/12 09:05:26.715,247,202,Jersey
146,B,2019/01/12 09:08:51.524,2019/01/12 09:08:51.524,143,7,Colombia
140,H,2019/01/12 09:11:27.324,2019/01/12 09:11:27.324,65,32,Armenia
137,L,2019/01/12 09:13:28.065,2019/01/12 09:13:28.065,253,245,North Korea
148,A,2019/01/12 09:20:00.000,2019/01/12 09:20:00.000,59,55,Sri Lanka
145,F,2019/01/12 09:23:45.487,2019/01/12 09:23:45.487,232,195,Australia
139,A,2019/01/12 09:24:42.888,2019/01/12 09:24:42.888,101,54,Georgia
123,F,2019/01/12 09:25:18.775,2019/01/12 09:25:18.775,63,16,Christmas Island
144,A,2019/01/12 09:27:19.214,2019/01/12 09:27:19.214,133,208,Bangladesh
141,C,2019/01/12 09:27:52.475,2019/01/12 09:27:52.475,176,185,United Arab Emirates
147,D,2019/01/12 09:29:01.441,2019/01/12 09:29:01.441,48,248,Morocco
138,B,2019/01/12 09:29:51.746,2019/01/12 09:29:51.746,198,167,Trinidad & Tobago
143,G,2019/01/12 09:32:19.083,2019/01/12 09:32:19.083,68,117,Romania
142,G,2019/01/12 09:34:29.212,2019/01/12 09:34:29.212,90,198,Kuwait
146,C,2019/01/12 09:39:53.448,2019/01/12 09:39:53.448,76,226,Jordan
149,A,2019/01/12 09:40:00.000,2019/01/12 09:40:00.000,124,251,Myanmar (Burma)
137,M,2019/01/12 09:40:51.213,2019/01/12 09:40:51.213,94,139,Congo - Brazzaville
148,D,2019/01/12 09:45:50.130,2019/01/12 09:45:50.130,248,251,India
139,D,2019/01/12 09:50:57.394,2019/01/12 09:50:57.394,113,192,Uganda
144,D,2019/01/12 09:53:56.103,2019/01/12 09:53:56.103,162,149,Malta
145,E,2019/01/12 09:54:05.464,2019/01/12 09:54:05.464,188,206,Guyana
123,E,2019/01/12 09:54:33.948,2019/01/12 09:54:33.948,52,220,Senegal
138,C,2019/01/12 09:56:57.661,2019/01/12 09:56:57.661,66,48,Mali
141,A,2019/01/12 09:58:57.830,2019/01/12 09:58:57.830,48,108,Solomon Islands
147,F,2019/01/12 10:00:06.672,2019/01/12 10:00:06.672,234,248,Lebanon
143,H,2019/01/12 10:07:16.827,2019/01/12 10:07:16.827,181,212,Mexico
142,I,2019/01/12 10:11:04.051,2019/01/12 10:11:04.051,18,28,Cambodia
146,A,2019/01/12 10:11:33.531,2019/01/12 10:11:33.531,154,213,Palau
137,O,2019/01/12 10:13:04.698,2019/01/12 10:13:04.698,57,36,Belize
149,D,2019/01/12 10:15:21.266,2019/01/12 10:15:21.266,221,233,Trinidad & Tobago
148,F,2019/01/12 10:16:42.813,2019/01/12 10:16:42.813,89,208,Bahrain
151,A,2019/01/12 10:20:00.000,2019/01/12 10:20:00.000,136,236,Netherlands
139,F,2019/01/12 10:21:58.558,2019/01/12 10:21:58.558,143,46,Togo
144,F,2019/01/12 10:22:14.377,2019/01/12 10:22:14.377,45,167,Slovenia
123,G,2019/01/12 10:25:02.287,2019/01/12 10:25:02.287,38,130,Iran
147,E,2019/01/12 10:26:22.925,2019/01/12 10:26:22.925,73,95,St. Barthélemy
141,B,2019/01/12 10:29:00.144,2019/01/12 10:29:00.144,200,93,Sierra Leone
138,A,2019/01/12 10:29:02.295,2019/01/12 10:29:02.295,98,101,Cambodia
145,G,2019/01/12 10:32:45.061,2019/01/12 10:32:45.061,15,30,Malawi
142,J,2019/01/12 10:39:40.214,2019/01/12 10:39:40.214,80,48,Cyprus
152,A,2019/01/12 10:40:00.000,2019/01/12 10:40:00.000,247,25,Belize
149,F,2019/01/12 10:41:19.256,2019/01/12 10:41:19.256,37,119,Wallis & Futuna
146,D,2019/01/12 10:42:57.057,2019/01/12 10:42:57.057,17,73,Algeria
148,E,2019/01/12 10:43:00.443,2019/01/12 10:43:00.443,178,198,Comoros
139,E,2019/01/12 10:48:14.112,2019/01/12 10:48:14.112,116,121,Bhutan
151,D,2019/01/12 10:50:41.481,2019/01/12 10:50:41.481,127,66,Ecuador
123,H,2019/01/12 10:51:28.619,2019/01/12 10:51:28.619,139,179,Cambodia
144,E,2019/01/12 10:53:07.465,2019/01/12 10:53:07.465,101,184,South Africa
147,G,2019/01/12 10:58:44.123,2019/01/12 10:58:44.123,16,185,Liberia
138,B,2019/01/12 10:59:43.415,2019/01/12 10:59:43.415,57,248,Kuwait
153,A,2019/01/12 11:00:00.000,2019/01/12 11:00:00.000,234,131,Sri Lanka
141,C,2019/01/12 11:00:23.964,2019/01/12 11:00:23.964,95,75,British Indian Ocean Territory
145,I,2019/01/12 11:05:15.234,2019/01/12 11:05:15.234,171,159,Estonia
149,E,2019/01/12 11:10:58.793,2019/01/12 11:10:58.793,83,175,Vanuatu
148,G,2019/01/12 11:11:47.138,2019/01/12 11:11:47.138,235,160,Afghanistan
146,F,2019/01/12 11:11:53.936,2019/01/12 11:11:53.936,70,34,Antigua & Barbuda
142,L,2019/01/12 11:11:57.424,2019/01/12 11:11:57.424,38,66,Ecuador
152,D,2019/01/12 11:11:58.826,2019/01/12 11:11:58.826,180,67,Réunion
139,G,2019/01/12 11:15:22.771,2019/01/12 11:15:22.771,83,45,Gambia
151,F,2019/01/12 11:19:19.830,2019/01/12 11:19:19.830,19,92,Chile
154,A,2019/01/12 11:20:00.000,2019/01/12 11:20:00.000,249,158,Tuvalu
144,G,2019/01/12 11:20:57.994,2019/01/12 11:20:57.994,230,14,Burkina Faso
141,A,2019/01/12 11:24:32.937,2019/01/12 11:24:32.937,251,31,Macau SAR China
147,H,2019/01/12 11:28:55.102,2019/01/12 11:28:55.102,115,172,Tokelau
153,D,2019/01/12 11:29:33.545,2019/01/12 11:29:33.545,180,128,Sri Lanka
150,E,2019/01/12 11:30:57.654,2019/01/12 11:30:57.654,136,159,Libya
138,C,2019/01/12 11:33:44.282,2019/01/12 11:33:44.282,136,5,South Sudan
146,E,2019/01/12 11:37:37.156,2019/01/12 11:37:37.156,161,41,Guinea
148,I,2019/01/12 11:37:39.146,2019/01/12 11:37:39.146,86,239,Slovenia
145,J,2019/01/12 11:39:04.577,2019/01/12 11:39:04.577,186,91,Pakistan
149,G,2019/01/12 11:39:11.756,2019/01/12 11:39:11.756,122,233,Åland Islands
142,M,2019/01/12 11:39:39.488,2019/01/12 11:39:39.488,255,44,Belize
139,I,2019/01/12 11:41:01.286,2019/01/12 11:41:01.286,70,226,Jordan
152,F,2019/01/12 11:42:36.606,2019/01/12 11:42:36.606,210,38,Kiribati
144,H,2019/01/12 11:47:24.586,2019/01/12 11:47:24.586,209,86,Rwanda
154,B,2019/01/12 11:47:40.680,2019/01/12 11:47:40.680,97,41,French Polynesia
151,E,2019/01/12 11:51:02.253,2019/01/12 11:51:02.253,73,36,Grenada
153,F,2019/01/12 11:53:33.204,2019/01/12 11:53:33.204,188,211,Pitcairn Islands
141,D,2019/01/12 11:55:16.022,2019/01/12 11:55:16.022,128,224,Brazil
156,A,2019/01/12 12:00:00.000,2019/01/12 12:00:00.000,232,121,Timor-Leste
150,G,2019/01/12 12:02:28.999,2019/01/12 12:02:28.999,24,77,St. Helena
139,J,2019/01/12 12:05:23.233,2019/01/12 12:05:23.233,81,222,Martinique
148,J,2019/01/12 12:05:33.745,2019/01/12 12:05:33.745,224,141,Macedonia
149,H,2019/01/12 12:07:47.045,2019/01/12 12:07:47.045,42,134,Vatican City
146,G,2019/01/12 12:10:59.873,2019/01/12 12:10:59.873,74,78,Guatemala
145,K,2019/01/12 12:11:19.490,2019/01/12 12:11:19.490,52,160,Sri Lanka
152,E,2019/01/12 12:16:33.835,2019/01/12 12:16:33.835,215,240,Kyrgyzstan
154,C,2019/01/12 12:16:56.011,2019/01/12 12:16:56.011,203,252,Lebanon
142,O,2019/01/12 12:18:28.389,2019/01/12 12:18:28.389,40,136,British Indian Ocean Territory
157,A,2019/01/12 12:20:00.000,2019/01/12 12:20:00.000,67,58,Gibraltar
151,G,2019/01/12 12:20:58.473,2019/01/12 12:20:58.473,25,199,Brunei
153,E,2019/01/12 12:25:29.541,2019/01/12 12:25:29.541,42,208,American Samoa
141,F,2019/01/12 12:27:16.188,2019/01/12 12:27:16.188,132,5,Timor-Leste
156,D,2019/01/12 12:27:47.501,2019/01/12 12:27:47.501,148,51,Antigua & Barbuda
148,L,2019/01/12 12:33:23.438,2019/01/12 12:33:23.438,56,230,Equatorial Guinea
150,H,2019/01/12 12:34:32.964,2019/01/12 12:34:32.964,242,73,Oman
146,H,2019/01/12 12:37:48.863,2019/01/12 12:37:48.863,132,90,South Georgia & South Sandwich Islands
158,A,2019/01/12 12:40:00.000,2019/01/12 12:40:00.000,255,126,Åland Islands
139,K,2019/01/12 12:40:24.939,2019/01/12 12:40:24.939,222,236,Finland
145,M,2019/01/12 12:40:54.452,2019/01/12 12:40:54.452,169,100,Croatia
152,G,2019/01/12 12:44:46.539,2019/01/12 12:44:46.539,84,115,Cape Verde
154,A,2019/01/12 12:46:07.570,2019/01/12 12:46:07.570,8,89,Tajikistan
157,D,2019/01/12 12:49:38.524,2019/01/12 12:49:38.524,231,1,Vanuatu
151,I,2019/01/12 12:50:09.226,2019/01/12 12:50:09.226,74,17,Ireland
153,G,2019/01/12 12:53:39.431,2019/01/12 12:53:39.431,81,116,Eritrea
141,E,2019/01/12 12:57:25.908,2019/01/12 12:57:25.908,45,203,Cyprus
156,F,2019/01/12 12:58:38.117,2019/01/12 12:58:38.117,250,245,Suriname
159,A,2019/01/12 13:00:00.000,2019/01/12 13:00:00.000,39,16,Uruguay
148,M,2019/01/12 13:02:13.793,2019/01/12 13:02:13.793,12,148,Moldova
158,B,2019/01/12 13:11:56.103,2019/01/12 13:11:56.103,159,201,Isle of Man
145,N,2019/01/12 13:12:31.358,2019/01/12 13:12:31.358,143,89,Turks & Caicos Islands
139,M,2019/01/12 13:13:48.071,2019/01/12 13:13:48.071,128,37,Panama
154,B,2019/01/12 13:15:15.124,2019/01/12 13:15:15.124,141,143,Hungary
152,H,2019/01/12 13:16:54.618,2019/01/12 13:16:54.618,201,202,Macedonia
157,F,2019/01/12 13:16:55.114,2019/01/12 13:16:55.114,53,137,Guernsey
151,J,2019/01/12 13:26:15.865,2019/01/12 13:26:15.865,63,3,Iran
153,I,2019/01/12 13:26:34.196,2019/01/12 13:26:34.196,141,43,Tanzania
156,E,2019/01/12 13:27:03.650,2019/01/12 13:27:03.650,139,128,Italy
141,G,2019/01/12 13:29:40.022,2019/01/12 13:29:40.022,27,99,South Sudan
159,B,2019/01/12 13:32:14.508,2019/01/12 13:32:14.508,177,204,Montserrat
148,N,2019/01/12 13:33:39.376,2019/01/12 13:33:39.376,6,161,Morocco
161,A,2019/01/12 13:40:00.000,2019/01/12 13:40:00.000,64,133,Kyrgyzstan
154,C,2019/01/12 13:41:15.148,2019/01/12 13:41:15.148,251,87,São Tomé and Príncipe
139,O,2019/01/12 13:43:56.130,2019/01/12 13:43:56.130,82,227,Indonesia
158,C,2019/01/12 13:46:31.146,2019/01/12 13:46:31.146,212,222,South Africa
157,E,2019/01/12 13:47:59.128,2019/01/12 13:47:59.128,75,75,Zambia
151,L,2019/01/12 13:51:45.029,2019/01/12 13:51:45.029,111,191,U.S. Outlying Islands
153,J,2019/01/12 13:59:23.235,2019/01/12 13:59:23.235,144,254,Venezuela
162,A,2019/01/12 14:00:00.000,2019/01/12 14:00:00.000,30,168,Mali
141,H,2019/01/12 14:01:14.057,2019/01/12 14:01:14.057,135,86,Malaysia
156,G,2019/01/12 14:01:29.144,2019/01/12 14:01:29.144,13,3,Sweden
159,C,2019/01/12 14:04:01.303,2019/01/12 14:04:01.303,4,212,Cameroon
161,B,2019/01/12 14:11:26.103,2019/01/12 14:11:26.103,66,167,Eritrea
154,A,2019/01/12 14:11:51.347,2019/01/12 14:11:51.347,31,199,Switzerland
157,G,2019/01/12 14:12:22.782,2019/01/12 14:12:22.782,198,2,St. Vincent & Grenadines
163,A,2019/01/12 14:20:00.000,2019/01/12 14:20:00.000,250,232,Senegal
151,M,2019/01/12 14:20:37.752,2019/01/12 14:20:37.752,17,37,Saudi Arabia
158,A,2019/01/12 14:23:19.403,2019/01/12 14:23:19.403,168,251,Réunion
153,K,2019/01/12 14:27:06.531,2019/01/12 14:27:06.531,216,119,Luxembourg
162,B,2019/01/12 14:29:05.681,2019/01/12 14:29:05.681,223,29,New Caledonia
156,I,2019/01/12 14:32:14.064,2019/01/12 14:32:14.064,125,224,St. Helena
159,A,2019/01/12 14:37:08.361,2019/01/12 14:37:08.361,231,165,Ghana
