case,activity,timestamp
Case 10990,Weight,2011/02/16 08:00:43.000
Case 3743,Process Creation,2011/02/16 11:00:04.000
Case 10162,Process Creation,2011/02/16 11:00:05.000
Case 7070,Process Creation,2011/02/16 11:00:06.000
Case 19489,Process Creation,2011/02/16 11:00:13.000
Case 7420,Process Creation,2011/02/16 11:00:18.000
Case 23417,Process Creation,2011/02/16 11:00:20.000
Case 6336,Process Creation,2011/02/16 11:00:21.000
Case 6241,Process Creation,2011/02/16 11:00:22.000
Case 54,Process Creation,2011/02/16 11:00:23.000
Case 18654,Process Creation,2011/02/16 11:00:24.000
Case 16106,Process Creation,2011/02/16 11:00:37.000
Case 10144,Process Creation,2011/02/16 11:00:38.000
Case 3743,EngSupplierDesign Lead,2011/02/16 11:00:39.000
Case 10162,EngSupplierDesign Lead,2011/02/16 11:00:39.000
Case 7070,EngSupplierDesign Lead,2011/02/16 11:00:40.000
Case 19489,EngSupplierDesign Lead,2011/02/16 11:00:40.000
Case 54,EngSupplierDesign Lead,2011/02/16 11:00:41.000
Case 6241,EngSupplierDesign Lead,2011/02/16 11:00:41.000
Case 6336,EngSupplierDesign Lead,2011/02/16 11:00:41.000
Case 7420,EngSupplierDesign Lead,2011/02/16 11:00:41.000
Case 23417,EngSupplierDesign Lead,2011/02/16 11:00:41.000
Case 10144,EngSupplierDesign Lead,2011/02/16 11:00:42.000
Case 16106,EngSupplierDesign Lead,2011/02/16 11:00:42.000
Case 18654,EngSupplierDesign Lead,2011/02/16 11:00:42.000
Case 3743,WP Lead,2011/02/16 11:00:44.000
Case 7070,WP Lead,2011/02/16 11:00:44.000
Case 10162,WP Lead,2011/02/16 11:00:44.000
Case 6241,WP Lead,2011/02/16 11:00:45.000
Case 7420,WP Lead,2011/02/16 11:00:45.000
Case 19489,WP Lead,2011/02/16 11:00:45.000
Case 23417,WP Lead,2011/02/16 11:00:45.000
Case 54,WP Lead,2011/02/16 11:00:46.000
Case 6336,WP Lead,2011/02/16 11:00:46.000
Case 10144,WP Lead,2011/02/16 11:00:46.000
Case 16106,WP Lead,2011/02/16 11:00:46.000
Case 18654,WP Lead,2011/02/16 11:00:46.000
Case 17697,ME Assembly Checker,2011/02/16 11:00:49.000
Case 10990,ME Assembly Checker,2011/02/16 11:00:51.000
Case 10144,Stress WP Lead,2011/02/16 11:00:52.000
Case 16106,Stress WP Lead,2011/02/16 11:00:52.000
Case 18654,Stress WP Lead,2011/02/16 11:00:52.000
Case 54,Stress WP Lead,2011/02/16 11:00:53.000
Case 6241,Stress WP Lead,2011/02/16 11:00:53.000
Case 6336,Stress WP Lead,2011/02/16 11:00:53.000
Case 23417,Stress WP Lead,2011/02/16 11:00:53.000
Case 7070,Stress WP Lead,2011/02/16 11:00:54.000
Case 7420,Stress WP Lead,2011/02/16 11:00:54.000
Case 10162,Stress WP Lead,2011/02/16 11:00:54.000
Case 19489,Stress WP Lead,2011/02/16 11:00:54.000
Case 3743,Stress WP Lead,2011/02/16 11:00:55.000
Case 22182,ME Assembly Checker,2011/02/16 12:00:02.000
Case 7154,ME Assembly Checker,2011/02/16 12:00:03.000
Case 3777,ME Assembly Checker,2011/02/16 12:00:09.000
Case 8053,ME Assembly Checker,2011/02/16 12:00:11.000
Case 3261,ME Assembly Checker,2011/02/16 12:00:34.000
Case 16762,ME Assembly Checker,2011/02/16 12:00:36.000
Case 964,ME Assembly Checker,2011/02/16 12:00:44.000
Case 1402,ME Assembly Checker,2011/02/16 12:00:46.000
Case 8407,ME Assembly Checker,2011/02/16 14:00:42.000
Case 12422,ME Assembly Checker,2011/02/16 14:00:45.000
Case 5545,ME Assembly Checker,2011/02/16 14:00:56.000
Case 9373,ME Assembly Checker,2011/02/16 14:00:58.000
Case 504,Process Creation,2011/02/16 15:00:23.000
Case 1432,Process Creation,2011/02/16 15:00:32.000
Case 7500,Process Creation,2011/02/16 15:00:32.000
Case 7500,EngSupplierDesign Lead,2011/02/16 15:00:33.000
Case 7500,WP Lead,2011/02/16 15:00:34.000
Case 7500,Stress WP Lead,2011/02/16 15:00:35.000
Case 16875,ME Assembly Checker,2011/02/16 15:00:42.000
Case 15071,ME Assembly Checker,2011/02/16 15:00:44.000
Case 4100,ME Assembly Checker,2011/02/16 17:00:07.000
Case 8346,ME Assembly Checker,2011/02/16 17:00:10.000
Case 11094,ME Assembly Checker,2011/02/16 17:00:10.000
Case 16488,ME Assembly Checker,2011/02/16 17:00:12.000
Case 12776,Process Creation,2011/02/16 17:00:15.000
Case 12776,EngSupplierDesign Lead,2011/02/16 17:00:16.000
Case 12194,Process Creation,2011/02/16 17:00:39.000
Case 504,EngSupplierDesign Lead,2011/02/16 17:00:40.000
Case 1432,EngSupplierDesign Lead,2011/02/16 17:00:41.000
Case 12194,EngSupplierDesign Lead,2011/02/16 17:00:41.000
Case 5411,Process Creation,2011/02/16 18:00:16.000
Case 5411,EngSupplierDesign Lead,2011/02/16 18:00:17.000
Case 6467,Stress WP Lead,2011/02/17 09:00:34.000
Case 6799,Stress WP Lead,2011/02/17 09:00:34.000
Case 11405,Stress WP Lead,2011/02/17 09:00:34.000
Case 19207,Stress WP Lead,2011/02/17 09:00:35.000
Case 1086,Process Creation,2011/02/17 10:00:55.000
Case 505,Process Creation,2011/02/17 12:00:07.000
Case 505,EngSupplierDesign Lead,2011/02/17 12:00:08.000
Case 12776,WP Lead,2011/02/17 12:00:08.000
Case 12776,Stress WP Lead,2011/02/17 12:00:10.000
Case 1432,WP Lead,2011/02/17 12:00:33.000
Case 1086,EngSupplierDesign Lead,2011/02/17 13:00:10.000
Case 12195,Process Creation,2011/02/17 14:00:27.000
Case 5412,Process Creation,2011/02/17 14:00:29.000
Case 12195,EngSupplierDesign Lead,2011/02/17 14:00:30.000
Case 5412,EngSupplierDesign Lead,2011/02/17 14:00:31.000
Case 505,WP Lead,2011/02/17 15:00:05.000
Case 5412,WP Lead,2011/02/17 15:00:06.000
Case 12195,WP Lead,2011/02/17 15:00:06.000
Case 12776,CRA,2011/02/17 15:00:53.000
Case 1432,Stress WP Lead,2011/02/17 16:00:30.000
Case 5412,Stress WP Lead,2011/02/17 16:00:30.000
Case 12195,Stress WP Lead,2011/02/17 16:00:30.000
Case 505,Stress WP Lead,2011/02/17 16:00:31.000
Case 7501,Process Creation,2011/02/17 16:00:40.000
Case 7501,EngSupplierDesign Lead,2011/02/17 16:00:41.000
Case 6404,Process Creation,2011/02/17 16:00:53.000
Case 6404,EngSupplierDesign Lead,2011/02/17 16:00:54.000
Case 7501,WP Lead,2011/02/17 16:00:55.000
Case 6404,WP Lead,2011/02/17 16:00:56.000
Case 6404,Stress WP Lead,2011/02/17 16:00:57.000
Case 7501,Stress WP Lead,2011/02/17 16:00:57.000
Case 12776,M_P,2011/02/17 17:00:14.000
Case 12776,Weight,2011/02/17 17:00:26.000
Case 54,CRA,2011/02/17 17:00:34.000
Case 10144,CRA,2011/02/17 17:00:34.000
Case 16106,CRA,2011/02/17 17:00:34.000
Case 18654,CRA,2011/02/17 17:00:34.000
Case 3743,CRA,2011/02/17 17:00:35.000
Case 6241,CRA,2011/02/17 17:00:35.000
Case 6336,CRA,2011/02/17 17:00:35.000
Case 7070,CRA,2011/02/17 17:00:35.000
Case 7420,CRA,2011/02/17 17:00:35.000
Case 10162,CRA,2011/02/17 17:00:35.000
Case 19489,CRA,2011/02/17 17:00:35.000
Case 23417,CRA,2011/02/17 17:00:35.000
Case 10144,Weight,2011/02/17 17:00:47.000
Case 18654,Weight,2011/02/17 17:00:49.000
Case 6241,Weight,2011/02/17 17:00:50.000
Case 10162,Weight,2011/02/17 17:00:51.000
Case 19489,Weight,2011/02/17 17:00:52.000
Case 7420,Weight,2011/02/17 17:00:54.000
Case 23417,ME Assembly Checker,2011/02/18 09:00:52.000
Case 7420,ME Assembly Checker,2011/02/18 09:00:55.000
Case 7070,ME Assembly Checker,2011/02/18 10:00:08.000
Case 19489,ME Assembly Checker,2011/02/18 10:00:10.000
Case 3743,ME Assembly Checker,2011/02/18 10:00:33.000
Case 10162,ME Assembly Checker,2011/02/18 10:00:34.000
Case 7501,CRA,2011/02/18 10:00:36.000
Case 6404,CRA,2011/02/18 10:00:37.000
Case 6336,ME Assembly Checker,2011/02/18 11:00:03.000
Case 6241,ME Assembly Checker,2011/02/18 11:00:38.000
Case 54,ME Assembly Checker,2011/02/18 11:00:51.000
Case 18654,ME Assembly Checker,2011/02/18 11:00:53.000
Case 6241,M_P,2011/02/18 11:00:57.000
Case 6336,M_P,2011/02/18 11:00:58.000
Case 16106,ME Assembly Checker,2011/02/18 12:00:00.000
Case 10144,ME Assembly Checker,2011/02/18 12:00:02.000
Case 18654,M_P,2011/02/18 12:00:10.000
Case 54,M_P,2011/02/18 12:00:11.000
Case 10144,M_P,2011/02/18 12:00:14.000
Case 16106,M_P,2011/02/18 12:00:14.000
Case 12776,ME Fabrication Checker,2011/02/18 13:00:45.000
Case 3743,M_P,2011/02/18 14:00:48.000
Case 10162,M_P,2011/02/18 14:00:48.000
Case 3743,Stress,2011/02/18 16:00:01.000
Case 10162,Stress,2011/02/18 16:00:01.000
Case 16106,Stress,2011/02/18 16:00:01.000
Case 19489,Stress,2011/02/18 16:00:01.000
Case 8539,Process Creation,2011/02/18 16:00:04.000
Case 4514,Process Creation,2011/02/18 16:00:05.000
Case 10144,Stress,2011/02/18 16:00:24.000
Case 54,Stress,2011/02/18 16:00:25.000
Case 6241,Stress,2011/02/18 16:00:25.000
Case 6336,Stress,2011/02/18 16:00:25.000
Case 18654,Stress,2011/02/18 16:00:25.000
Case 1836,Process Creation,2011/02/18 16:00:27.000
Case 7070,Stress,2011/02/18 16:00:33.000
Case 7420,Stress,2011/02/18 16:00:33.000
Case 11094,Stress,2011/02/18 16:00:34.000
Case 16488,Stress,2011/02/18 16:00:34.000
Case 23417,Stress,2011/02/18 16:00:34.000
Case 4100,Stress,2011/02/18 16:00:35.000
Case 8346,Stress,2011/02/18 16:00:35.000
Case 5545,Stress,2011/02/18 16:00:36.000
Case 9373,Stress,2011/02/18 16:00:36.000
Case 12422,Stress,2011/02/18 16:00:36.000
Case 15071,Stress,2011/02/18 16:00:36.000
Case 16875,Stress,2011/02/18 16:00:36.000
Case 964,Stress,2011/02/18 16:00:37.000
Case 1402,Stress,2011/02/18 16:00:37.000
Case 8407,Stress,2011/02/18 16:00:37.000
Case 16762,Stress,2011/02/18 16:00:37.000
Case 3261,Stress,2011/02/18 16:00:39.000
Case 1836,EngSupplierDesign Lead,2011/02/18 16:00:56.000
Case 4514,EngSupplierDesign Lead,2011/02/18 16:00:56.000
Case 8539,EngSupplierDesign Lead,2011/02/18 16:00:56.000
Case 23417,M_P,2011/02/18 17:00:09.000
Case 7420,M_P,2011/02/18 17:00:10.000
Case 7070,M_P,2011/02/18 17:00:12.000
Case 19489,M_P,2011/02/18 17:00:14.000
Case 3777,Stress,2011/02/18 17:00:41.000
Case 8053,Stress,2011/02/18 17:00:41.000
Case 7154,Stress,2011/02/18 17:00:42.000
Case 10990,Stress,2011/02/18 17:00:42.000
Case 17697,Stress,2011/02/18 17:00:42.000
Case 22182,Stress,2011/02/18 17:00:42.000
Case 5413,Process Creation,2011/02/18 18:00:04.000
Case 5413,EngSupplierDesign Lead,2011/02/18 18:00:07.000
Case 506,Process Creation,2011/02/22 09:00:32.000
Case 506,EngSupplierDesign Lead,2011/02/22 09:00:34.000
Case 12196,Process Creation,2011/02/22 09:00:56.000
Case 12196,EngSupplierDesign Lead,2011/02/22 09:00:58.000
Case 14445,Process Creation,2011/02/22 10:00:02.000
Case 14445,EngSupplierDesign Lead,2011/02/22 10:00:03.000
Case 6468,Process Creation,2011/02/22 10:00:10.000
Case 6468,EngSupplierDesign Lead,2011/02/22 10:00:10.000
Case 1433,Process Creation,2011/02/22 10:00:14.000
Case 1433,EngSupplierDesign Lead,2011/02/22 10:00:15.000
Case 6800,Process Creation,2011/02/22 10:00:18.000
Case 6800,EngSupplierDesign Lead,2011/02/22 10:00:18.000
Case 11406,Process Creation,2011/02/22 10:00:21.000
Case 11406,EngSupplierDesign Lead,2011/02/22 10:00:22.000
Case 19208,Process Creation,2011/02/22 10:00:25.000
Case 19208,EngSupplierDesign Lead,2011/02/22 10:00:26.000
Case 1087,Process Creation,2011/02/22 11:00:27.000
Case 6316,Process Creation,2011/02/22 14:00:05.000
Case 6316,EngSupplierDesign Lead,2011/02/22 14:00:06.000
Case 13115,Process Creation,2011/02/22 14:00:08.000
Case 13115,EngSupplierDesign Lead,2011/02/22 14:00:08.000
Case 1087,EngSupplierDesign Lead,2011/02/22 14:00:18.000
Case 5413,WP Lead,2011/02/22 16:00:17.000
Case 13947,Process Creation,2011/02/22 16:00:40.000
Case 22182,Weight,2011/02/22 16:00:52.000
Case 4526,Process Creation,2011/02/22 17:00:16.000
Case 13948,Process Creation,2011/02/22 17:00:30.000
Case 4527,Process Creation,2011/02/22 17:00:31.000
Case 4041,Process Creation,2011/02/22 17:00:35.000
Case 5413,Stress WP Lead,2011/02/22 17:00:40.000
Case 24764,Process Creation,2011/02/22 17:00:42.000
Case 16875,Weight,2011/02/23 09:00:15.000
Case 5545,Weight,2011/02/23 09:00:18.000
Case 17697,Weight,2011/02/23 09:00:20.000
Case 3777,Weight,2011/02/23 09:00:22.000
Case 24764,EngSupplierDesign Lead,2011/02/23 09:00:27.000
Case 4041,EngSupplierDesign Lead,2011/02/23 09:00:28.000
Case 4527,EngSupplierDesign Lead,2011/02/23 09:00:28.000
Case 13948,EngSupplierDesign Lead,2011/02/23 09:00:28.000
Case 3261,Weight,2011/02/23 09:00:47.000
Case 8407,Weight,2011/02/23 09:00:50.000
Case 964,Weight,2011/02/23 09:00:52.000
Case 4100,Weight,2011/02/23 09:00:54.000
Case 23417,Weight,2011/02/23 09:00:56.000
Case 7070,Weight,2011/02/23 09:00:58.000
Case 6336,Weight,2011/02/23 09:00:59.000
Case 54,Weight,2011/02/23 10:00:08.000
Case 16106,Weight,2011/02/23 10:00:10.000
Case 3743,Weight,2011/02/23 10:00:12.000
Case 11555,Process Creation,2011/02/23 10:00:24.000
Case 13191,Process Creation,2011/02/23 10:00:28.000
Case 5413,CRA,2011/02/23 15:00:08.000
Case 54,ME Fabrication Checker,2011/02/23 17:00:55.000
Case 3743,ME Fabrication Checker,2011/02/23 17:00:55.000
Case 16106,ME Fabrication Checker,2011/02/23 17:00:55.000
Case 6336,ME Fabrication Checker,2011/02/23 17:00:56.000
Case 7070,ME Fabrication Checker,2011/02/23 17:00:56.000
Case 23417,ME Fabrication Checker,2011/02/23 17:00:56.000
Case 4100,ME Fabrication Checker,2011/02/23 17:00:57.000
Case 507,Process Creation,2011/02/23 18:00:09.000
Case 507,EngSupplierDesign Lead,2011/02/23 18:00:10.000
Case 12197,Process Creation,2011/02/23 18:00:11.000
Case 12197,EngSupplierDesign Lead,2011/02/23 18:00:12.000
Case 5414,Process Creation,2011/02/23 18:00:13.000
Case 5414,EngSupplierDesign Lead,2011/02/23 18:00:13.000
Case 964,ME Fabrication Checker,2011/02/23 18:00:30.000
Case 3261,ME Fabrication Checker,2011/02/23 18:00:31.000
Case 3777,ME Fabrication Checker,2011/02/23 18:00:31.000
Case 17697,ME Fabrication Checker,2011/02/23 18:00:31.000
Case 5545,ME Fabrication Checker,2011/02/23 18:00:32.000
Case 16875,ME Fabrication Checker,2011/02/23 18:00:32.000
Case 7420,ME Fabrication Checker,2011/02/23 18:00:33.000
Case 19489,ME Fabrication Checker,2011/02/23 18:00:33.000
Case 1402,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 4100,Design Lead,2011/02/23 18:00:34.000
Case 8346,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 9373,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 11094,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 12422,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 15071,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 16762,ME Fabrication Checker,2011/02/23 18:00:34.000
Case 6241,ME Fabrication Checker,2011/02/23 18:00:35.000
Case 10144,ME Fabrication Checker,2011/02/23 18:00:35.000
Case 10162,ME Fabrication Checker,2011/02/23 18:00:35.000
Case 16488,ME Fabrication Checker,2011/02/23 18:00:35.000
Case 18654,ME Fabrication Checker,2011/02/23 18:00:35.000
Case 7154,ME Fabrication Checker,2011/02/23 18:00:36.000
Case 8053,ME Fabrication Checker,2011/02/23 18:00:36.000
Case 8407,ME Fabrication Checker,2011/02/23 18:00:36.000
Case 22182,ME Fabrication Checker,2011/02/23 18:00:36.000
Case 10990,ME Fabrication Checker,2011/02/23 18:00:37.000
Case 8346,Design Lead,2011/02/23 18:00:38.000
Case 10990,Design Lead,2011/02/23 18:00:44.000
Case 16106,Design Lead,2011/02/23 18:00:45.000
Case 3743,Design Lead,2011/02/23 18:00:46.000
Case 54,Design Lead,2011/02/23 18:00:47.000
Case 6336,Design Lead,2011/02/23 18:00:48.000
Case 7070,Design Lead,2011/02/23 18:00:48.000
Case 23417,Design Lead,2011/02/23 18:00:49.000
Case 964,Design Lead,2011/02/23 18:00:50.000
Case 3261,Design Lead,2011/02/23 18:00:51.000
Case 17697,Design Lead,2011/02/23 18:00:52.000
Case 3777,Design Lead,2011/02/23 18:00:53.000
Case 5545,Design Lead,2011/02/23 18:00:53.000
Case 16875,Design Lead,2011/02/23 18:00:54.000
Case 19489,Design Lead,2011/02/23 18:00:55.000
Case 7420,Design Lead,2011/02/23 18:00:56.000
Case 16762,Design Lead,2011/02/23 18:00:57.000
Case 1402,Design Lead,2011/02/23 18:00:58.000
Case 9373,Design Lead,2011/02/23 18:00:59.000
Case 12422,Design Lead,2011/02/23 18:00:59.000
Case 15071,Design Lead,2011/02/23 19:00:00.000
Case 11094,Design Lead,2011/02/23 19:00:01.000
Case 6241,Design Lead,2011/02/23 19:00:02.000
Case 16488,Design Lead,2011/02/23 19:00:02.000
Case 18654,Design Lead,2011/02/23 19:00:04.000
Case 10144,Design Lead,2011/02/23 19:00:05.000
Case 8407,Design Lead,2011/02/23 19:00:06.000
Case 10162,Design Lead,2011/02/23 19:00:06.000
Case 22182,Design Lead,2011/02/23 19:00:07.000
Case 7154,Design Lead,2011/02/23 19:00:08.000
Case 8053,Design Lead,2011/02/23 19:00:08.000
Case 6405,Process Creation,2011/02/24 10:00:59.000
Case 6405,EngSupplierDesign Lead,2011/02/24 11:00:00.000
Case 6405,WP Lead,2011/02/24 11:00:01.000
Case 6405,Stress WP Lead,2011/02/24 11:00:37.000
Case 1837,Process Creation,2011/02/24 12:00:18.000
Case 19866,Process Creation,2011/02/24 12:00:39.000
Case 10460,Process Creation,2011/02/24 12:00:40.000
Case 10460,EngSupplierDesign Lead,2011/02/24 12:00:41.000
Case 19866,EngSupplierDesign Lead,2011/02/24 12:00:42.000
Case 6405,CRA,2011/02/24 13:00:52.000
Case 1838,Process Creation,2011/02/24 14:00:51.000
Case 13949,Process Creation,2011/02/24 14:00:51.000
Case 1838,EngSupplierDesign Lead,2011/02/24 16:00:11.000
Case 13949,EngSupplierDesign Lead,2011/02/24 16:00:11.000
Case 4528,Process Creation,2011/02/24 16:00:14.000
Case 4528,EngSupplierDesign Lead,2011/02/24 16:00:23.000
Case 4042,Process Creation,2011/02/24 17:00:15.000
Case 4042,EngSupplierDesign Lead,2011/02/24 17:00:16.000
Case 24765,Process Creation,2011/02/24 18:00:02.000
Case 24765,EngSupplierDesign Lead,2011/02/24 18:00:02.000
Case 1838,WP Lead,2011/02/25 11:00:37.000
Case 6819,Process Creation,2011/02/25 11:00:53.000
Case 4528,WP Lead,2011/02/25 11:00:55.000
Case 4042,WP Lead,2011/02/25 12:00:01.000
Case 24765,WP Lead,2011/02/25 12:00:04.000
Case 7403,Process Creation,2011/02/25 12:00:06.000
Case 14671,Process Creation,2011/02/25 12:00:10.000
Case 2582,Process Creation,2011/02/25 12:00:14.000
Case 17543,Process Creation,2011/02/25 12:00:17.000
Case 13950,Process Creation,2011/02/25 12:00:20.000
Case 12829,Process Creation,2011/02/25 12:00:34.000
Case 6819,EngSupplierDesign Lead,2011/02/25 12:00:35.000
Case 12829,EngSupplierDesign Lead,2011/02/25 12:00:35.000
Case 2582,EngSupplierDesign Lead,2011/02/25 12:00:36.000
Case 7403,EngSupplierDesign Lead,2011/02/25 12:00:36.000
Case 14671,EngSupplierDesign Lead,2011/02/25 12:00:36.000
Case 17543,EngSupplierDesign Lead,2011/02/25 12:00:36.000
Case 12829,WP Lead,2011/02/25 12:00:37.000
Case 2582,WP Lead,2011/02/25 12:00:38.000
Case 6819,WP Lead,2011/02/25 12:00:38.000
Case 7403,WP Lead,2011/02/25 12:00:38.000
Case 14671,WP Lead,2011/02/25 12:00:38.000
Case 17543,WP Lead,2011/02/25 12:00:38.000
Case 507,WP Lead,2011/02/25 12:00:53.000
Case 21,Process Creation,2011/02/25 13:00:30.000
Case 21,EngSupplierDesign Lead,2011/02/25 13:00:32.000
Case 13950,EngSupplierDesign Lead,2011/02/25 13:00:32.000
Case 13950,WP Lead,2011/02/25 13:00:41.000
Case 13950,Stress WP Lead,2011/02/25 13:00:45.000
Case 24765,Stress WP Lead,2011/02/25 13:00:45.000
Case 507,Stress WP Lead,2011/02/25 13:00:46.000
Case 4042,Stress WP Lead,2011/02/25 13:00:46.000
Case 1838,Stress WP Lead,2011/02/25 13:00:47.000
Case 4528,Stress WP Lead,2011/02/25 13:00:47.000
Case 2582,Stress WP Lead,2011/02/25 13:00:48.000
Case 7403,Stress WP Lead,2011/02/25 13:00:48.000
Case 17543,Stress WP Lead,2011/02/25 13:00:48.000
Case 6819,Stress WP Lead,2011/02/25 13:00:49.000
Case 12829,Stress WP Lead,2011/02/25 13:00:49.000
Case 14671,Stress WP Lead,2011/02/25 13:00:50.000
Case 3618,Process Creation,2011/02/25 13:00:52.000
Case 5135,Process Creation,2011/02/25 13:00:57.000
Case 12197,WP Lead,2011/02/25 13:00:58.000
Case 20603,Process Creation,2011/02/25 14:00:19.000
Case 16705,Process Creation,2011/02/25 14:00:23.000
Case 5414,WP Lead,2011/02/25 14:00:25.000
Case 14446,Process Creation,2011/02/25 14:00:58.000
Case 6469,Process Creation,2011/02/25 14:00:59.000
Case 14446,EngSupplierDesign Lead,2011/02/25 14:00:59.000
Case 6469,EngSupplierDesign Lead,2011/02/25 15:00:00.000
Case 1434,Process Creation,2011/02/25 15:00:01.000
Case 1434,EngSupplierDesign Lead,2011/02/25 15:00:01.000
Case 6801,Process Creation,2011/02/25 15:00:02.000
Case 6801,EngSupplierDesign Lead,2011/02/25 15:00:03.000
Case 11407,Process Creation,2011/02/25 15:00:05.000
Case 11407,EngSupplierDesign Lead,2011/02/25 15:00:05.000
Case 19209,Process Creation,2011/02/25 15:00:06.000
Case 16705,EngSupplierDesign Lead,2011/02/25 15:00:07.000
Case 19209,EngSupplierDesign Lead,2011/02/25 15:00:07.000
Case 20603,EngSupplierDesign Lead,2011/02/25 15:00:07.000
Case 12830,Process Creation,2011/02/25 15:00:25.000
Case 12830,EngSupplierDesign Lead,2011/02/25 15:00:25.000
Case 12830,WP Lead,2011/02/25 15:00:28.000
Case 12830,Stress WP Lead,2011/02/25 15:00:30.000
Case 5135,EngSupplierDesign Lead,2011/02/25 15:00:51.000
Case 3618,EngSupplierDesign Lead,2011/02/25 15:00:52.000
Case 1839,Process Creation,2011/02/25 16:00:00.000
Case 17544,Process Creation,2011/02/25 16:00:00.000
Case 17544,EngSupplierDesign Lead,2011/02/25 16:00:02.000
Case 13951,Process Creation,2011/02/25 16:00:03.000
Case 4529,Process Creation,2011/02/25 16:00:06.000
Case 17544,WP Lead,2011/02/25 16:00:08.000
Case 4043,Process Creation,2011/02/25 16:00:10.000
Case 17544,Stress WP Lead,2011/02/25 16:00:10.000
Case 24766,Process Creation,2011/02/25 16:00:13.000
Case 4043,EngSupplierDesign Lead,2011/02/25 16:00:14.000
Case 24766,EngSupplierDesign Lead,2011/02/25 16:00:14.000
Case 1839,EngSupplierDesign Lead,2011/02/25 16:00:15.000
Case 13951,EngSupplierDesign Lead,2011/02/25 16:00:15.000
Case 4529,EngSupplierDesign Lead,2011/02/25 16:00:16.000
Case 507,CRA,2011/02/25 16:00:38.000
Case 2582,CRA,2011/02/25 16:00:38.000
Case 6819,CRA,2011/02/25 16:00:38.000
Case 7403,CRA,2011/02/25 16:00:38.000
Case 14671,CRA,2011/02/25 16:00:38.000
Case 12830,CRA,2011/02/25 16:00:39.000
Case 17544,CRA,2011/02/25 16:00:39.000
Case 12830,ME Assembly Checker,2011/02/25 17:00:11.000
Case 14671,ME Assembly Checker,2011/02/25 17:00:21.000
Case 14447,Process Creation,2011/02/25 17:00:24.000
Case 14447,EngSupplierDesign Lead,2011/02/25 17:00:25.000
Case 6470,Process Creation,2011/02/25 17:00:26.000
Case 6470,EngSupplierDesign Lead,2011/02/25 17:00:26.000
Case 1435,Process Creation,2011/02/25 17:00:27.000
Case 1435,EngSupplierDesign Lead,2011/02/25 17:00:27.000
Case 6802,Process Creation,2011/02/25 17:00:28.000
Case 6802,EngSupplierDesign Lead,2011/02/25 17:00:29.000
Case 6819,ME Assembly Checker,2011/02/25 17:00:29.000
Case 11408,Process Creation,2011/02/25 17:00:29.000
Case 11408,EngSupplierDesign Lead,2011/02/25 17:00:30.000
Case 1839,WP Lead,2011/02/25 17:00:31.000
Case 4043,WP Lead,2011/02/25 17:00:31.000
Case 4529,WP Lead,2011/02/25 17:00:31.000
Case 13951,WP Lead,2011/02/25 17:00:31.000
Case 19210,Process Creation,2011/02/25 17:00:31.000
Case 19210,EngSupplierDesign Lead,2011/02/25 17:00:31.000
Case 24766,WP Lead,2011/02/25 17:00:31.000
Case 1435,WP Lead,2011/02/25 17:00:32.000
Case 6470,WP Lead,2011/02/25 17:00:32.000
Case 6802,WP Lead,2011/02/25 17:00:32.000
Case 11408,WP Lead,2011/02/25 17:00:32.000
Case 14447,WP Lead,2011/02/25 17:00:32.000
Case 19210,WP Lead,2011/02/25 17:00:32.000
Case 7403,ME Assembly Checker,2011/02/25 17:00:35.000
Case 2582,ME Assembly Checker,2011/02/25 17:00:41.000
Case 5414,Stress WP Lead,2011/02/25 17:00:44.000
Case 11556,Process Creation,2011/02/25 17:00:45.000
Case 12197,Stress WP Lead,2011/02/25 17:00:45.000
Case 24766,Stress WP Lead,2011/02/25 17:00:45.000
Case 4043,Stress WP Lead,2011/02/25 17:00:46.000
Case 4529,Stress WP Lead,2011/02/25 17:00:46.000
Case 13951,Stress WP Lead,2011/02/25 17:00:46.000
Case 1839,Stress WP Lead,2011/02/25 17:00:47.000
Case 14447,Stress WP Lead,2011/02/25 17:00:47.000
Case 1435,Stress WP Lead,2011/02/25 17:00:48.000
Case 6802,Stress WP Lead,2011/02/25 17:00:48.000
Case 11408,Stress WP Lead,2011/02/25 17:00:48.000
Case 19210,Stress WP Lead,2011/02/25 17:00:48.000
Case 6470,Stress WP Lead,2011/02/25 17:00:49.000
Case 6317,Process Creation,2011/02/25 18:00:02.000
Case 6317,EngSupplierDesign Lead,2011/02/25 18:00:03.000
Case 11556,EngSupplierDesign Lead,2011/02/26 08:00:35.000
Case 13192,Process Creation,2011/02/26 09:00:22.000
Case 12830,M_P,2011/02/26 09:00:53.000
Case 14671,M_P,2011/02/26 09:00:55.000
Case 6819,M_P,2011/02/26 09:00:56.000
Case 7403,M_P,2011/02/26 09:00:58.000
Case 2582,M_P,2011/02/26 09:00:59.000
Case 1840,Process Creation,2011/02/26 10:00:24.000
Case 13192,EngSupplierDesign Lead,2011/02/26 10:00:33.000
Case 13952,Process Creation,2011/02/26 10:00:33.000
Case 1840,EngSupplierDesign Lead,2011/02/26 10:00:34.000
